"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","129","deve retornar 403 quando a API key é inválida","GET /api/users - Listagem e consulta de usuários","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","115","deve retornar 401 quando a API key não é enviada","POST /api/login - Autenticação de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","196","deve retornar 401 quando a API key não é enviada","GET /api/users - Listagem e consulta de usuários","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","120","deve retornar 401 ao atualizar sem API key","PUT e PATCH /api/users/:id - Atualização de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","280","deve retornar 404 ao usar um método inválido (PUT) em /api/register","PUT e PATCH /api/users/:id - Atualização de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","215","deve retornar um único usuário existente (id = 2)","GET /api/users - Listagem e consulta de usuários","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","124","deve retornar 400 quando a senha está ausente","POST /api/register - Cadastro de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","125","deve retornar 400 quando a senha está ausente","POST /api/login - Autenticação de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","2022","deve concluir a compra de múltiplos produtos validando o total do resumo","Checkout - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","250","deve remover o usuário retornando 204 e corpo vazio","DELETE /api/users/:id - Remoção de usuário","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","120","deve retornar 400 para um usuário não cadastrado","POST /api/login - Autenticação de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","1477","Checkout recusado quando os dados do comprador estão incompletos (example #2)","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","124","deve retornar 400 quando o corpo está vazio","POST /api/register - Cadastro de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","1417","Checkout recusado quando os dados do comprador estão incompletos (example #3)","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","435","Acesso recusado quando um campo obrigatório não é informado (example #1)","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","160","deve exibir erro quando usuário e senha estão em branco","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","437","Acesso recusado quando um campo obrigatório não é informado (example #2)","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","158","deve registrar um usuário válido retornando 200 com id e token","POST /api/register - Cadastro de usuário","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
