"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","989","Revisão de um produto no carrinho","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","154","deve retornar 401 ao atualizar sem API key","PUT e PATCH /api/users/:id - Atualização de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","160","deve retornar 400 quando a senha está ausente","POST /api/register - Cadastro de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","155","deve retornar 401 quando a API key não é enviada","POST /api/login - Autenticação de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","1482","Checkout recusado quando os dados do comprador estão incompletos (example #2)","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","737","Acesso recusado com credenciais inválidas (example #2)","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","160","deve retornar 400 quando o e-mail está ausente","POST /api/login - Autenticação de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","203","PUT deve atualizar o usuário retornando 200 e updatedAt","PUT e PATCH /api/users/:id - Atualização de usuário","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","200","deve autenticar com credenciais válidas retornando 200 e token","POST /api/login - Autenticação de usuário","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","1480","deve exibir erro quando o sobrenome está em branco","Checkout - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos - validação dos dados do comprador","",""
"","1418","deve exibir erro quando o CEP está em branco","Checkout - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos - validação dos dados do comprador","",""
"","383","deve retornar 404 ao usar um método inválido (PUT) em /api/register","PUT e PATCH /api/users/:id - Atualização de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","2043","deve concluir a compra de múltiplos produtos validando o total do resumo","Checkout - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","1860","Conclusão da compra de múltiplos produtos","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","1423","Checkout recusado quando os dados do comprador estão incompletos (example #3)","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","1458","Checkout recusado quando os dados do comprador estão incompletos (example #1)","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","204","deve registrar um usuário válido retornando 200 com id e token","POST /api/register - Cadastro de usuário","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","158","deve retornar 400 para um usuário não cadastrado","POST /api/login - Autenticação de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","442","Acesso recusado quando um campo obrigatório não é informado (example #1)","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","773","Acesso recusado com credenciais inválidas (example #3)","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","1724","Conclusão da compra de um único produto","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","1002","deve logar com standard_user e navegar para a página de produtos","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","436","deve exibir erro quando a senha está em branco","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","148","deve retornar 401 quando a API key não é enviada","POST /api/register - Cadastro de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","1025","Acesso com um usuário padrão válido","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","453","Acesso recusado quando um campo obrigatório não é informado (example #2)","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","153","deve retornar 400 quando o e-mail está ausente","POST /api/register - Cadastro de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","163","deve retornar 400 quando a senha está ausente","POST /api/login - Autenticação de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","261","deve retornar 401 quando a API key não é enviada","GET /api/users - Listagem e consulta de usuários","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","768","não deve logar com usuário inexistente","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","174","Acesso recusado quando um campo obrigatório não é informado (example #3)","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","1452","deve exibir erro quando o primeiro nome está em branco","Checkout - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos - validação dos dados do comprador","",""
"","158","deve retornar 401 ao remover sem API key","DELETE /api/users/:id - Remoção de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","1728","Revisão do total no resumo do pedido","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","429","deve exibir erro quando o usuário está em branco","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","1097","Adição de um produto ao carrinho","Checkout na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","172","deve exibir erro quando usuário e senha estão em branco","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","282","deve respeitar a paginação ao consultar a página 2","GET /api/users - Listagem e consulta de usuários","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","817","não deve logar com usuário bloqueado (locked_out_user)","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","159","PATCH deve atualizar parcialmente o usuário retornando 200","PUT e PATCH /api/users/:id - Atualização de usuário","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","164","deve retornar 403 quando a API key é inválida","GET /api/users - Listagem e consulta de usuários","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","278","deve retornar 404 ao consultar um usuário inexistente (id = 999)","GET /api/users - Listagem e consulta de usuários","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","392","deve listar usuários retornando status, headers e corpo válidos","GET /api/users - Listagem e consulta de usuários","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","817","Acesso recusado com credenciais inválidas (example #1)","Login na SauceDemo","2026-06-22","passed","2026-06-22","","","",""
"","743","não deve logar com senha incorreta","Login - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","151","deve retornar 400 quando o payload é um JSON malformado","POST /api/register - Cadastro de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","155","deve retornar 400 quando o corpo está vazio","POST /api/register - Cadastro de usuário","2026-06-22","passed","2026-06-22","","Cenários negativos","",""
"","281","deve retornar um único usuário existente (id = 2)","GET /api/users - Listagem e consulta de usuários","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","422","deve remover o usuário retornando 204 e corpo vazio","DELETE /api/users/:id - Remoção de usuário","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
"","2586","deve concluir a compra de um único produto com sucesso","Checkout - SauceDemo (E2E)","2026-06-22","passed","2026-06-22","","Cenários positivos","",""
